iter	Passed	Remaining
0	197	147784
1	339	127089
2	476	118589
3	596	111315
4	707	105484
5	830	103000
6	936	99447
7	1071	99404
8	1183	97415
9	1286	95176
10	1387	93236
11	1489	91620
12	1590	90170
13	1682	88455
14	1819	89176
15	1946	89316
16	2064	89024
17	2165	88072
18	2273	87469
19	2370	86526
20	2470	85758
21	2583	85495
22	2684	84845
23	2793	84516
24	2896	84009
25	2999	83523
26	3104	83126
27	3207	82711
28	3300	82058
29	3409	81822
30	3506	81333
31	3603	80847
32	3709	80591
33	3809	80228
34	3915	79988
35	4020	79739
36	4133	79646
37	4246	79564
38	4352	79343
39	4443	78865
40	4545	78598
41	4661	78581
42	4776	78530
43	4864	78060
44	4991	78193
45	5100	78053
46	5205	77867
47	5315	77735
48	5434	77748
49	5546	77650
50	5657	77545
51	5767	77418
52	5897	77552
53	6006	77411
54	6137	77558
55	6229	77204
56	6361	77337
57	6485	77374
58	6605	77367
59	6728	77382
60	6861	77500
61	6983	77493
62	7116	77604
63	7239	77596
64	7380	77781
65	7478	77502
66	7588	77360
67	7706	77288
68	7821	77192
69	7926	76995
70	8023	76734
71	8151	76762
72	8271	76707
73	8376	76524
74	8487	76389
75	8626	76503
76	8734	76338
77	8835	76122
78	8944	75972
79	9076	76016
80	9196	75955
81	9308	75826
82	9431	75789
83	9548	75705
84	9649	75495
85	9740	75203
86	9856	75114
87	9984	75109
88	10096	74986
89	10199	74796
90	10295	74559
91	10404	74414
92	10524	74353
93	10625	74151
94	10743	74074
95	10845	73883
96	10943	73673
97	11037	73431
98	11141	73265
99	11249	73119
100	11360	73000
101	11470	72868
102	11597	72849
103	11728	72852
104	11848	72784
105	11971	72734
106	12092	72667
107	12191	72472
108	12310	72395
109	12421	72267
110	12530	72134
111	12629	71941
112	12747	71857
113	12913	72043
114	13048	72051
115	13163	71944
116	13303	71977
117	13456	72072
118	13579	72004
119	13705	71952
120	13809	71785
121	13923	71673
122	14027	71506
123	14141	71393
124	14251	71259
125	14373	71180
126	14492	71094
127	14633	71108
128	14751	71014
129	14898	71052
130	15035	71045
131	15151	70938
132	15283	70902
133	15397	70782
134	15522	70712
135	15654	70673
136	15776	70592
137	15898	70506
138	16013	70389
139	16135	70303
140	16250	70190
141	16386	70162
142	16520	70123
143	16632	69996
144	16737	69836
145	16862	69760
146	16987	69685
147	17107	69587
148	17233	69514
149	17366	69466
150	17483	69355
151	17602	69250
152	17722	69150
153	17847	69071
154	17966	68968
155	18079	68839
156	18195	68727
157	18342	68725
158	18451	68584
159	18566	68464
160	18669	68301
161	18805	68258
162	18929	68171
163	19036	68022
164	19152	67904
165	19273	67806
166	19400	67726
167	19512	67597
168	19628	67479
169	19753	67395
170	19875	67297
171	19997	67200
172	20102	67045
173	20234	66983
174	20347	66856
175	20478	66788
176	20606	66708
177	20720	66586
178	20851	66516
179	20969	66402
180	21081	66273
181	21193	66142
182	21304	66008
183	21434	65935
184	21564	65857
185	21690	65769
186	21790	65605
187	21904	65481
188	22028	65387
189	22151	65287
190	22276	65197
191	22395	65088
192	22521	64998
193	22666	64961
194	22805	64908
195	22935	64829
196	23074	64771
197	23225	64749
198	23388	64758
199	23597	64893
200	23729	64812
201	23846	64691
202	23945	64522
203	24065	64410
204	24184	64295
205	24288	64141
206	24411	64036
207	24516	63884
208	24641	63785
209	24752	63648
210	24852	63486
211	24973	63375
212	25083	63239
213	25194	63104
214	25309	62978
215	25424	62853
216	25521	62685
217	25624	62533
218	25742	62415
219	25858	62295
220	25984	62197
221	26111	62102
222	26202	61922
223	26340	61852
224	26453	61725
225	26592	61657
226	26704	61526
227	26814	61390
228	26956	61328
229	27056	61171
230	27186	61081
231	27294	60941
232	27394	60785
233	27513	60671
234	27634	60560
235	27758	60457
236	27877	60341
237	27976	60184
238	28092	60064
239	28215	59958
240	28321	59815
241	28450	59723
242	28579	59628
243	28687	59490
244	28801	59366
245	28912	59235
246	29024	59107
247	29139	58984
248	29255	58863
249	29366	58733
250	29485	58619
251	29576	58449
252	29695	58335
253	29817	58226
254	29925	58090
255	30040	57969
256	30164	57864
257	30272	57728
258	30400	57632
259	30511	57503
260	30632	57392
261	30741	57259
262	30851	57128
263	30949	56975
264	31062	56850
265	31174	56722
266	31293	56610
267	31413	56496
268	31547	56410
269	31646	56259
270	31754	56126
271	31877	56020
272	32003	55918
273	32122	55803
274	32217	55648
275	32333	55528
276	32446	55404
277	32542	55251
278	32646	55112
279	32753	54978
280	32872	54865
281	32984	54740
282	33100	54621
283	33196	54469
284	33328	54378
285	33434	54243
286	33540	54108
287	33638	53960
288	33733	53810
289	33847	53688
290	33957	53561
291	34067	53435
292	34188	53325
293	34303	53205
294	34421	53090
295	34549	52991
296	34667	52876
297	34751	52711
298	34860	52581
299	34985	52477
300	35085	52336
301	35188	52200
302	35304	52082
303	35424	51972
304	35545	51860
305	35662	51745
306	35766	51611
307	35870	51476
308	35975	51343
309	36067	51193
310	36187	51080
311	36292	50949
312	36418	50846
313	36541	50739
314	36663	50630
