model,fold,auc
neural_network,1,0.9598264667248242
catboost,1,0.9655786173311292
xgboost,1,0.9681632058993139
lightgbm,1,0.9687031412843159
neural_network,2,0.9590755061005795
catboost,2,0.9649196990309612
xgboost,2,0.967821961484319
lightgbm,2,0.9678899867019924
neural_network,3,0.959580051754468
catboost,3,0.9648753852521729
xgboost,3,0.9674608216306704
lightgbm,3,0.9679908063112769
neural_network,4,0.9600129705628959
catboost,4,0.9658470225416538
xgboost,4,0.9680392914919224
lightgbm,4,0.9684091902895406
neural_network,5,0.959660437362218
catboost,5,0.9657818005440799
xgboost,5,0.9685299449564554
lightgbm,5,0.9687992609447924
neural_network,OOF,0.9595937382870251
catboost,OOF,0.9653948276050373
xgboost,OOF,0.9680007638736501
lightgbm,OOF,0.9683554882732544
meta_logistic,OOF,0.9686939310067118
meta_lightgbm,OOF,0.9689257206295705
meta_weighted,OOF,0.9686863407960289
meta_rank,OOF,0.9669884717625783
final_model,FINAL,0.9689257206295705
